A sample training set with Medium Noise 1

63	(dimension of input pattern)
7	(dimension of output pattern)
21	(number of training or testing pairs)

-1  1  1  1 -1 -1 -1
-1 -1  1  1 -1 -1 -1
-1 -1 -1  1 -1 -1 -1
-1 -1  1 -1  1  1 -1
-1 -1  1  1  1 -1 -1
-1  1  1  1  1  1 -1
-1  1 -1  1 -1  1 -1
-1  1  1 -1 -1  1 -1
 1 -1  1 -1  1 -1  1

 1 -1 -1 -1 -1 -1 -1
A1

-1  1  1 -1  1  1 -1
-1 -1 -1 -1 -1 -1  1
-1  1 -1 -1 -1 -1  1
-1  1  1 -1 -1 -1  1
-1  1  1  1  1  1 -1
-1  1 -1  1 -1 -1  1
-1  1  1 -1 -1 -1 -1
-1  1 -1 -1 -1 -1  1
 1  1  1  1  1  1 -1

-1  1 -1 -1 -1 -1 -1
B1

-1 -1  1  1  1  1 -1
 1  1 -1 -1  1  1  1
 1 -1 -1 -1 -1 -1 -1
 1  1 -1 -1 -1 -1 -1
-1 -1 -1 -1 -1 -1 -1
 1 -1 -1 -1 -1 -1 -1
 1 -1 -1 -1 -1 -1 -1
-1  1 -1 -1  1 -1  1
-1 -1  1 -1  1  1 -1

-1 -1  1 -1  1 -1  1
C1

-1  1  1  1  1 -1 -1
-1  1 -1  1 -1  1 -1
-1  1 -1 -1 -1 -1 -1
-1  1  1 -1 -1 -1  1
-1 -1 -1 -1 -1 -1 -1
-1  1 -1 -1 -1 -1  1
-1  1 -1 -1 -1 -1  1
-1  1  1 -1 -1  1 -1
 1  1  1  1  1  1 -1

-1 -1 -1  1 -1 -1 -1
D1

 1  1 -1  1  1  1  1
-1  1 -1 -1 -1  1  1
-1  1 -1 -1 -1 -1 -1
-1 -1 -1  1 -1 -1 -1
-1  1 -1  1  1 -1 -1
-1  1 -1  1 -1 -1 -1
-1  1 -1 -1 -1 -1 -1
 1  1 -1 -1 -1 -1  1
 1  1  1 -1  1  1  1

-1 -1 -1 -1  1 -1 -1
E1

-1 -1  1  1  1 -1  1
-1 -1 -1 -1  1  1 -1
